128.89,122.75
128.89,122.75
115.35,147.80
115.35,147.80
124.15,151.18
124.15,151.18
139.72,149.15
139.72,149.15
127.54,152.53
127.54,152.53
126.86,166.07
126.86,166.07
121.45,244.58
121.45,244.58
187.10,227.66
187.10,227.66
179.65,214.80
179.65,214.80
141.07,227.66
141.07,227.66
105.88,225.63
105.88,225.63
65.95,206.68
65.95,206.68
51.74,195.17
51.74,195.17
44.29,202.62
44.29,202.62
70.69,179.61
70.69,179.61
83.55,164.72
83.55,164.72
111.97,182.31
111.97,182.31
105.88,202.62
105.88,202.62
84.22,193.14
84.22,193.14
97.76,170.81
97.76,170.81
125.51,180.28
125.51,180.28
137.69,179.61
137.69,179.61
141.75,211.41
141.75,211.41
154.61,208.71
154.61,208.71
140.40,161.33
140.40,161.33
120.09,161.33
120.09,161.33
115.35,187.05
115.35,187.05
109.26,212.09
109.26,212.09
102.50,209.38
102.50,209.38
129.57,214.12
129.57,214.12
128.89,142.38
128.89,142.38
124.15,141.03
124.15,141.03
132.27,141.70
132.27,141.70
136.34,171.48
136.34,171.48
98.43,160.65
98.43,160.65
109.94,146.44
109.94,146.44
139.04,151.86
139.04,151.86
153.93,194.49
153.93,194.49
80.84,182.31
80.84,182.31
97.08,162.69
97.08,162.69
109.26,170.81
109.26,170.81
131.60,173.51
131.60,173.51
143.10,172.16
143.10,172.16
155.96,216.83
155.96,216.83
142.43,219.54
142.43,219.54
93.02,232.40
93.02,232.40
129.57,237.13
129.57,237.13
163.41,232.40
163.41,232.40
178.30,226.30
178.30,226.30
44.29,200.59
44.29,200.59
65.95,218.86
65.95,218.86
